title,songTitle,artist,release,album,genre,lyricist,composer,arranger,work,opEd
Yume no Tojou,Yume no Tojou,戸定梨香,2023年7月4日,,オリジナル,RUCCA（ルッカ）,ヴィーナス・シンコ,,,
僕らは戸定建設員,僕らは戸定建設員,戸定梨香,2023年7月4日,,オリジナル,ヴィーナス・シンコ,ヴィーナス・シンコ,,,
青いベンチ（MCあり）,青いベンチ,サスケ,2004年,青いベンチ～好きだった…誰にも言えない恋だった～,J-POP,北清水雄太,北清水雄太,,,
青いベンチ,青いベンチ,サスケ,2004年,青いベンチ～好きだった…誰にも言えない恋だった～,J-POP,北清水雄太,北清水雄太,,,
ハッピー☆ラッキー・バースデー！ ※メンバーシップ限定,ハッピー☆ラッキー・バースデー！,mao,2012年12月18日,,ドラえもん,マイクスギヤマ,沢田完,沢田完,ドラえもん,ED
"夏色えがおで1,2,Jump!","夏色えがおで1,2,Jump!",μ's,2011年8月24日, μ's Best Album Best Live! collection,アニソン,畑亜貴,佐々倉有吾,,ラブライブ！,キャラソン
命ばっかり,命ばっかり,ぬゆり,2017年,,ボカロ,ぬゆり,ぬゆり,,,
スシ食いねェ！,スシ食いねェ！,シブがき隊,1986年,,J-POP,秋元康,後藤次利,,,
私、アイドル宣言,私、アイドル宣言,じん,2014年,,ボカロ,じん,じん,,,
サンタさん,サンタさん,ももいろクローバーZ,2011年11月23日,5TH DIMENSION,J-POP,前田たかひろ,NARASAKI,NARASAKI,,
人生リセットボタン,人生リセットボタン,kemu,2012年,,ボカロ,kemu,kemu,,,
どこまでも～How Far I'll Go～,どこまでも～How Far I'll Go～,屋比久知奈,2017年,モアナと伝説の海 オリジナル・サウンドトラック,ディズニー,林真里江,林真里江,,モアナと伝説の海,挿入歌
レット・イット・ゴー～ありのままで～,レット・イット・ゴー～ありのままで～,松たか子,2014年,アナと雪の女王 オリジナル・サウンドトラック,ディズニー,Kristen Anderson-Lopez,Robert Lopez,,アナと雪の女王,挿入歌
ファンサ,ファンサ,mona（夏川椎菜）,2019年,Log,J-POP,DECO*27,DECO*27,,,
ハレ晴レユカイ,ハレ晴レユカイ,平野綾、茅原実里、後藤邑子,2006年5月10日,,アニソン,畑亜貴,田代智一,,涼宮ハルヒの憂鬱,ED
うまぴょい伝説,うまぴょい伝説,ウマ娘 プリティーダービー,2016年,スマホゲーム『ウマ娘 プリティーダービー』STARTING GATE 01 (2021 Remastered Version),アニソン,本田晃弘,本田晃弘,本田晃弘,ウマ娘 プリティーダービー,挿入歌
お願い！シンデレラ,お願い！シンデレラ, THE IDOLM@STER CINDERELLA GIRLS for BEST5!,2014年,THE IDOLM@STER CINDERELLA GIRLS 1stLIVE WONDERFUL M@GIC!!,アニソン,marhy,NBSI（内田哲也）,NBSI（内田哲也）,THE IDOLM@STER CINDERELLA GIRLS,OP
はなまるぴっぴはよいこだけ,はなまるぴっぴはよいこだけ,A応P,2015年,A応P,アニソン,あさき,96,96,おそ松さん,OP
暗殺プリンセス,暗殺プリンセス,初音ミク,2019年,バーチャル・ポップスター,ボカロ,Mitchie M,Mitchie M,Mitchie M,,
はろうぃんないと,はろうぃんないと,AKB48,2015年8月26日,0と1の間【No.1 Singles】,J-POP,	秋元康,井上ヨシマサ,,マジすか学園5,OP
青,青,MAYU,2012/11/30,,ボカロ,164,164,164,,
打上花火,打上花火,DAOKO×米津玄師,2017年,,J-POP,米津玄師,米津玄師,,打ち上げ花火、下から見るか？ 横から見るか？,主題歌
Believe in yourself,Believe in yourself,阿部真央,2014年,Believe in yourself,アニソン,阿部真央。,阿部真央。,akkin,ベイビーステップ,OP
幽霊東京,幽霊東京,初音ミク,2019年11月17日,,ボカロ,Ayase,Ayase,Ayase,,
うちで踊ろう,うちで踊ろう,星野源,2021年,不思議/創造,J-POP,星野源,星野源,,安倍晋三,
アルカホリック・ランデヴー,アルカホリック・ランデヴー,v flower,:2019年,,ボカロ,くじら,くじら,くじら,,
Rusty Nail,Rusty Nail,X JAPAN,1994年7月10日,DAHLIA,J-POP,YOSHIKI,YOSHIKI,,君が見えない,主題歌
ダンシング・ヒーロー (Eat You Up),ダンシング・ヒーロー (Eat You Up),荻野目洋子,1985年,荻野目洋子 ザ・ベスト,J-POP,篠原仁志,A.Kyte / T.Baker,馬飼野康二,,
自由への扉,自由への扉,小此木麻里,2010年,,ディズニー,"GLENN SLATER , 高橋知伽江",ALAN MENKEN,,塔の上のラプンツェル,挿入歌
チバケンサンバ,チバケンサンバ,戸定梨香,2024年10月26日,,オリジナル,カミナリコゾウ、戸定梨香＆ファン,,,南のちば,
恋は最後のフェアリー・テール,恋は最後のフェアリー・テール,すかんち,1994年,GOLD,J-POP,森雪之丞,ロ−リ−寺西,佐久間正英・すかんち,ゲーム・オン!,CMソング
むぅむぅちゃんバースデー,むぅむぅちゃんバースデー,戸定梨香,2024/06/06,,オリジナル,ヴィーナス・シンコ,ヴィーナス・シンコ,,,
ジングル・ベル,ジングル・ベル,,1857年,,クリスマス,ピアポント,ピアポント,,,
冬がはじまるよ,冬がはじまるよ,槇原敬之,1992年,君は僕の宝物,J-POP,槇原敬之,槇原敬之,槇原敬之,サッポロビール「冬物語」,CMソング
クリスマス・イブ,クリスマス・イブ,山下達郎,1983年12月14日,MELODIES,J-POP,山下達郎,山下達郎,,JR東海のクリスマス・エクスプレス,CMソング
いつか空に届いて,いつか空に届いて,椎名恵,1991年,機動戦士ガンダム・オデッセイ,ガンダム,椎名恵,椎名恵,戸塚修,機動戦士ガンダム0080 ポケットの中の戦争,主題歌
あわてんぼうのサンタクロース,あわてんぼうのサンタクロース,坂田おさむと神崎ゆう子,2006年2月22日,ベスト・セレクション「楽しいクリスマス・ソング」,クリスマス,吉岡治,小林亜星,越部信義,,
いつかのメリークリスマス,いつかのメリークリスマス,B'z,1992年,FRIENDS,J-POP,稲葉浩志,松本孝弘,,恋は舞い降りた,挿入歌
Snow Fairy Story,Snow Fairy Story,,,,ボカロ,,,,,
雪の華,雪の華,,,,J-POP,,,,,
You're My Only Shinin' Star,You're My Only Shinin' Star,,,,J-POP,,,,,
SWEET MEMORIES,SWEET MEMORIES,,,,J-POP,,,,,
遠い街のどこかで…,遠い街のどこかで…,,,,J-POP,,,,,
世界中の誰よりきっと,世界中の誰よりきっと,,,,J-POP,,,,,
POP IN 2,POP IN 2,,,,アニソン,,,,【推しの子】,キャラソン
こんなあたしはいかがですか,こんなあたしはいかがですか,,,,J-POP,,,,,
サインはB ～ アイドル,サインはB ～ アイドル,,,,アニソン,,,,【推しの子】,挿入歌
すきっ！,すきっ！,,,,ボカロ,,,,,
愛包ダンスホール,愛包ダンスホール,,,,J-POP,,,,,
Realize!,Realize!,,,,アニソン,,,,Re:ゼロから始める異世界生活,OP
わたしの一番かわいいところ,わたしの一番かわいいところ,,,,J-POP,,,,,
残酷な天使のテーゼ,残酷な天使のテーゼ,,,,アニソン,,,,新世紀エヴァンゲリオン,OP
絶対アイドル辞めないで,絶対アイドル辞めないで,,,,J-POP,,,,,
風といっしょに,風といっしょに,,,,アニソン,,,,ポケットモンスター,ED
"Please, please!","Please, please!",,2023/7/26,,アニソン,Kanata Okajima,Kanata Okajima・pw.a,pw.a,政宗くんのリベンジR,OP
ETERNAL WIND ～ほほえみは光る風の中～,ETERNAL WIND ～ほほえみは光る風の中～,,,,ガンダム,西脇唯,西脇唯・緒里原洋子,,機動戦士ガンダムF91,ED
回レ！雪月花,回レ！雪月花,,2013年11月27日,,アニソン,ヒゲドライバー,ヒゲドライバー,ヒゲドライバー,機巧少女は傷つかない,ED
私の夏,私の夏,,,,J-POP,,,,,
夢をかなえてドラえもん,夢をかなえてドラえもん,mao,2007年,夢をかなえてドラえもん,ドラえもん,黒須克彦,黒須克彦,,ドラえもん,OP
星間飛行,星間飛行,YUMIKO,2009年,JAPAN ANIMESONG COLLECTION VOL.29[アニソン・ジャパン],アニソン,松本隆,菅野よう子,,マクロスF,挿入歌
ドリドリ,ドリドリ,中川翔子,2015.02.18,,アニソン,中川翔子・岩里祐穂,鈴木健太朗,黒須克彦,ポケットモンスターXY,ED
ライオン,ライオン,May'n/中島愛,2008年8月20日,メイン☆ストリート,アニソン,Gabriela Robin,菅野よう子,,マクロスF,OP
ω猫,ω猫,,,,ボカロ,,,,,
フリージア,フリージア,Uru,2017/02/15,,ガンダム,Uru,岩見直明,トオミヨウ,機動戦士ガンダム 鉄血のオルフェンズ,ED
晴る,晴る,,,,J-POP,,,,,
Oneway Generation,Oneway Generation,,,,J-POP,,,,,
Sincerely,Sincerely,,2018年1月31日,,アニソン,唐沢美帆,堀江晶太,,ヴァイオレット・エヴァーガーデン,OP
ミッキーマウス・マーチ,ミッキーマウス・マーチ,,1955年,,ディズニー,ジミー・ドッド,ジミー・ドッド,,ミッキーマウス・クラブ,OP
影踏み,影踏み,nano.RIPE,2013年3月,,アニソン,きみコ,きみコ・佐々木淳,,劇場版 花咲くいろは HOME SWEET HOME,主題歌
愛が生まれた日,愛が生まれた日,,,,J-POP,,,,,
輝く君へ,輝く君へ,麻帆良学園中等部2-A かなかな組,2005年,輝く君へ,アニソン,ヌマダテゆか、須藤仁美,桑原秀明,,魔法先生ネギま!,ED
眩暈,眩暈,鬼束ちひろ,2001年3月7日,インソムニア,J-POP,鬼束ちひろ,鬼束ちひろ,羽毛田丈史,エステティックサロン『ラ・パルレ』,CMソング
ありがとう,ありがとう,いきものがかり,2010年,いきものばかり〜メンバーズBESTセレクション〜,J-POP,水野良樹 ,水野良樹 ,本間昭光,ゲゲゲの女房,主題歌
ラ♡ブ♡リ♡,ラ♡ブ♡リ♡,三浦あずさ (CV.たかはし智秋),2013年,MASTER ARTIST 2,アニソン,yura,松田信男,松田信男,アイドルマスター,
キミの花,キミの花,奥華子,2017年1月5日,遥か遠くに見えていた今日,アニソン,Oku Hanako。,Oku Hanako。,Morimoto Takahiro,セイレン,OP
Wonderful World,Wonderful World,Dream Ami,2021年2月19日,,J-POP,Dream Ami,Ellee Duke、Emily Wright、Kipp Williams,,鴨川シーワールド,テーマソング
ホール・ニュー・ワールド,ホール・ニュー・ワールド,ブラッド・ケイン、 レア・サロンガ,1992年,,ディズニー,ティム・ライス ,アラン・メンケン ,,アラジン,主題歌
運命共同体！,運命共同体！,音莉飴,2023/04/08,,アニソン,音莉飴,音莉飴・メブキユウ,MARUMOCHI,女神のカフェテラス,OP
可愛いあの子が気にゐらない,可愛いあの子が気にゐらない,なるみや,2023年,可愛いあの子が気にゐらない,J-POP,,,,,
START:DASH!!,START:DASH!!,μ's,2013/04/03,,アニソン,畑亜貴,:佐々木裕,:佐々木裕,ラブライブ！,挿入歌
dear...,dear...,,,,J-POP,,,,,
All Alone With You,All Alone With You,EGOIST,2013年,「PSYCHO-PASS サイコパス」Complete Original Soundtrack（配信バージョン）,アニソン,ryo(supercell),ryo(supercell),,PSYCHO-PASS,ED
Into the Sky,Into the Sky,SawanoHiroyuki[nZk],2016年6月29日,,ガンダム,Benjamin & mpi,澤野弘之,,機動戦士ガンダムUC,OP
アンダー・ザ・シー,アンダー・ザ・シー,サミュエル・E・ライト,1989年,,ディズニー,ハワード・アッシュマン,アラン・メンケン ,,リトル・マーメイド,主題歌
STILL LOVE HER (失われた風景),STILL LOVE HER (失われた風景),TM NETWORK,1988年12月9日,CAROL 〜A DAY IN A GIRL'S LIFE 1991〜,アニソン,小室哲哉,小室哲哉、木根尚登,,CITY HUNTER2,ED
Yume no Tojou／僕らは戸定建設員,Yume no Tojou／僕らは戸定建設員,戸定梨香,,,オリジナル,,,,,
ススメ→トゥモロウ,ススメ→トゥモロウ,高坂穂乃果・南ことり・園田海未,2013年2月20日,,アニソン,畑亜貴,河田貴央,,ラブライブ！,劇中歌の劇中歌
ふわふわ時間,ふわふわ時間,放課後ティータイム,2009年,放課後ティータイム,アニソン,秋山澪,前澤寛之,,けいおん！,挿入歌
鳥の詩,鳥の詩,Lia,2000年,Lia／LIA COLLECTION ALBUM Special Limited Box,アニソン,麻枝准,折戸伸治,高瀬一矢,AIR,主題歌
空も飛べるはず,空も飛べるはず,,,,J-POP,,,,,
motto☆いちごオレ,motto☆いちごオレ,成海 萌奈（なるみ もな） / mona（モナ）,2024年3月9日,#名前だけでも覚えていってください,アニソン,"Gom, shito",Gom,HoneyWorks,告白実行委員会,挿入歌
Enter Enter MISSION!,Enter Enter MISSION!,あんこうチーム,2012年11月7日,,アニソン,畑亜貴,矢吹香那・佐々木裕,佐々木裕,ガールズ&パンツァー,ED
my graduation,my graduation,,,,J-POP,,,,,
卒業写真,卒業写真,,,,J-POP,,,,,
アンインストール,アンインストール,鈴木美夏,2008年,JAPAN ANIMESONG COLLECTION VOL.15[アニソン・ジャパン],アニソン,石川智晶,石川智晶,,ぼくらの,OP
光るなら,光るなら,Goose house,2014年11月19日,,アニソン,Goose house,Goose house,,四月は君の嘘,OP
勇者,勇者,YOASOBI,2023年,THE BOOK 3,アニソン,Ayase,Ayase ,,葬送のフリーレン,OP
トレセン音頭,トレセン音頭,,2023年8月24日,『ウマ娘 プリティーダービー』WINNING LIVE 13,アニソン,丹下めえな,本田晃弘,本田晃弘、加藤慶久,ウマ娘 プリティーダービー,挿入歌
走れ！自転車,走れ！自転車,子門真人,,,J-POP,伊藤アキラ,越部信義,,松戸競輪,テーマソング
はっぴぃ にゅう にゃあ,はっぴぃ にゅう にゃあ,芹沢文乃(伊藤かな恵)・梅ノ森千世(井口裕香)・霧谷希(竹達彩奈),2010年,はっぴぃ にゅう にゃあ/イチャラブ Come Home!,アニソン,くまのきよみ,高木隆次,高木隆次,迷い猫オーバーラン,OP
AURORA,AURORA,藍井エイル,2012年9月5日,,ガンダム,Eir・Ryosuke Shigenaga,Ryosuke Shigenaga,重永亮介・下川佳代,機動戦士ガンダムAGE,OP
irony,irony,ClariS,2010年10月20日,BIRTHDAY,アニソン,kz,kz,kz,俺の妹がこんなに可愛いわけがない,OP
Paradise,Paradise,NiziU,,,ドラえもん,3RACHA,3RACHA,,映画ドラえもん のび太と空の理想郷（ユートピア）,
Thank You!,Thank You!,,2013年2月10日,THE IDOLM@STER LIVE THE@TER PERFORMANCE 01,アニソン,NBSI（モモキエイジ）,NBSI（佐藤貴文）,NBSI（佐藤貴文）,アイドルマスター シンデレラガールズ,テーマソング
PRIDE,PRIDE,HIGH and MIGHTY COLOR,2005年1月26日,G∞VER,ガンダム,HIGH and MIGHTY COLOR,HIGH and MIGHTY COLOR,HIGH and MIGHTY COLOR,機動戦士ガンダムSEED,OP
SnowMix♪,SnowMix♪,初音ミク,,,ボカロ,まらしぃ,まらしぃ,KOUICHI（Twitter）,,
City Hunter〜愛よ消えないで〜,City Hunter〜愛よ消えないで〜,,,,アニソン,,,,シティハンター,OP
Memorial,Memorial,,,,アニソン,,,,アイドルタイムプリパラ,OP
Love Destiny,Love Destiny,,,,アニソン,,,,シスター・プリンセス,OP
Get Wild,Get Wild,,,,アニソン,,,,シティーハンター,ED
恋人がサンタクロース,恋人がサンタクロース,,,,J-POP,,,,,
M@STERPIECE,M@STERPIECE,,,,アニソン,,,,THE IDOLM@STER MOVIE 輝きの向こう側へ!,主題歌
KIRARI MAGIC SHOW,KIRARI MAGIC SHOW,,,『ウマ娘 プリティーダービー』WINNING LIVE 09,アニソン,,,,ウマ娘 プリティーダービー,
Snow halation,Snow halation,,,,アニソン,,,,ラブライブ！,
かわいいメモリアル,かわいいメモリアル,,,,ボカロ,,,,,
ようこそジャパリパークへ,ようこそジャパリパークへ,,,,アニソン,,,,けものフレンズ,
誇り高きアイドル,誇り高きアイドル,,,,アニソン,,,,告白実行委員会,
SHINY DAYS,SHINY DAYS,,,,アニソン,,,,ゆるキャン△,
ゼリーフィッシュ,ゼリーフィッシュ,,,,アニソン,,,,ゾンビランドサガ,挿入歌
夜明けのShooting Star,夜明けのShooting Star,林原めぐみ,1992年,WHATEVER,アニソン,辛島美登里,辛島美登里,,機動戦士ガンダム0080～ポケットの中の戦争～,イメージソング
あんたにあっかんべ,あんたにあっかんべ,初音ミク,,,ボカロ,一二三,一二三,一二三,,
緋色の空,緋色の空,,,,アニソン,,,,灼眼のシャナ,
花火,花火,aiko,2000年,桜の木の下,J-POP,,,,激マジ!!～ティ-ンのホンネ～,ED
金曜日のおはよう-another story-,金曜日のおはよう-another story-,初音ミク,,,ボカロ,HoneyWorks,HoneyWorks,HoneyWorks,,
slash,slash,yama,2023年,機動戦士ガンダム 水星の魔女 Original Soundtrack (Incomplete Edition),ガンダム,,,,機動戦士ガンダム 水星の魔女,OP
ちゅ、多様性。,ちゅ、多様性。,,,,ボカロ,,,,,
HAPPY PARTY TRAIN,HAPPY PARTY TRAIN,,,,アニソン,,,,ラブライブ！サンシャイン!!,
サインはB,サインはB,,,,アニソン,,,,【推しの子】,挿入歌
SHOOT!,SHOOT!,,,,アニソン,,,,ロウきゅーぶ！,
僕が生まれた街,僕が生まれた街, 奥 華子,,,J-POP,,,,,
北ウイング,北ウイング,,,,J-POP,,,,,
想い出の九十九里浜,想い出の九十九里浜,,,,J-POP,,,,,
ダイスキ。,ダイスキ。,大橋彩香,大橋彩香,TVアニメ『可愛ければ変態でも好きになってくれますか?』オリジナルサウンドトラック,アニソン,,,,可愛ければ変態でも好きになってくれますか?,OP
#超絶かわいい,#超絶かわいい,成海萌奈,,超絶あざといお前らの姫,ボカロ,HoneyWorks,HoneyWorks,HoneyWorks,,
HOT LIMIT,HOT LIMIT,T.M.Revolution,,,J-POP,井上秋緒,浅倉大介,浅倉大介,,
ユメヲカケル！,ユメヲカケル！,,,,アニソン,,,,ウマ娘 プリティーダービー,
Polaris,Polaris,,,,アニソン,,,,僕のヒーローアカデミア,
W-B-X ～W-Boiled Extreme～,W-B-X ～W-Boiled Extreme～,上木彩矢、 TAKUYA,2009年,仮面ライダーダブル オリジナルサウンドトラック,,,,,仮面ライダーW,OP
ハッピー☆ラッキー・バースデー！,ハッピー☆ラッキー・バースデー！,,2012年12月18日,,ドラえもん,マイクスギヤマ,沢田完,沢田完,ドラえもん,挿入歌
SOS,SOS,黛冬優子（CV:幸村恵理）,2022年12月28日,THE IDOLM@STER SHINY COLORS COLORFUL FE@THERS -Sol-,アニソン,下地悠,睦月周平,睦月周平,アイドルマスターシャイニーカラーズ,
YUME日和,YUME日和,,,,ドラえもん,,,,ドラえもん のび太のワンニャン時空伝,主題歌
コネクト,コネクト,,,,アニソン,,,,魔法少女まどか☆マギカ,
君の知らない物語,君の知らない物語,,,,アニソン,,,,化物語,
新時代,新時代,,,,アニソン,,,,ONE PIECE FILM RED,
スーパーフェニックス〜光の世界へ〜,スーパーフェニックス〜光の世界へ〜,,,,アニソン,,,,スーパービックリマン,OP
チョコレーション,チョコレーション,,,,J-POP,,,,,
Precious Memories,Precious Memories,栗林みな実,,,J-POP,,,,,
ギミチョコ！！,ギミチョコ！！,BABYMETAL,,,J-POP,,,,,
7 Senses,7 Senses,"Wake Up, Girls!",,,アニソン,,,,"Wake Up, Girls!",
バレンタイン・キッス,バレンタイン・キッス,国生 さゆり,,,J-POP,,,,,
青春コンプレックス,青春コンプレックス,,,,アニソン,,,,ぼっち・ざ・ろっく！,OP
チョコレイト・ディスコ,チョコレイト・ディスコ,Perfume,2007年2月14日,,J-POP,,,,,
悲しみは雪のように,悲しみは雪のように,浜田省吾, 2000年,,J-POP,,,,愛という名のもとに,主題歌
可愛くてごめん,可愛くてごめん,,,,ボカロ,,,,,
"それを人は“青春""と呼んだ","それを人は“青春""と呼んだ",,,,アニソン,HoneyWorks,HoneyWorks,HoneyWorks,IDOLY PRIDE -アイドリープライド,
いかないで,いかないで,,,,ボカロ,,,,,
祝福,祝福,,,,ガンダム,,,,機動戦士ガンダム 水星の魔女,
メリー,メリー,,,THE IDOLM@STER 765PRO ALLSTARS+ GRE@TEST BEST! -LOVE&PEACE!-,アニソン,yura,Funta,	Funta,THE IDOLM@STER,
翔べ！ガンダム,翔べ！ガンダム,,,,ガンダム,,,,機動戦士ガンダム,
Rainbow,Rainbow,ROUND TABLE feat. Nino,2005年10月21日,Nino,アニソン,北川勝利,ROUND TABLE、桜井康史,ROUND TABLE、桜井康史,ARIA The ANIMATION,ED
はじまりのSignal,はじまりのSignal,メジロマックイーン、 大西沙織,2021年,『ウマ娘 プリティーダービー』WINNING LIVE 01,アニソン,永井正道,永井正道,永井正道,ウマ娘プリティダービー,
タチアガレ！,タチアガレ！,,,,アニソン,,,,"Wake Up, Girls!",
誕生日でも結婚式でも使える歌,誕生日でも結婚式でも使える歌,ゴールデンボンバー, 2018年,キラーチューンしかねえよ,J-POP,,,,,
HAPPY HAPPY BIRTHDAY,HAPPY HAPPY BIRTHDAY,DREAMS COME TRUE,1993年,MAGIC,J-POP,,,,,
ブルーウォーター,ブルーウォーター,,,,アニソン,,,,ふしぎの海のナディア,
初恋サイダー,初恋サイダー,,,,ボカロ,,,,,
美しい時間の中で,美しい時間の中で,,,,市民の歌,荒木忠雄、峯陽,小林秀雄,,松戸市民の歌,
Q&Aリサイタル！,Q&Aリサイタル！,,,,アニソン,,,,となりの怪物くん,
恋愛サーキュレーション,恋愛サーキュレーション,,,,アニソン,,,,化物語,
DreamRiser,DreamRiser,,,,アニソン,,,,ガールズ&パンツァー,
それは僕たちの奇跡,それは僕たちの奇跡,,,,アニソン,,,,ラブライブ！,
きよしこの夜,きよしこの夜,,1818年12月24日,,クリスマス,由木康,フランツ・クサーヴァー・グルーバー,,,
赤鼻のトナカイ,赤鼻のトナカイ,,1948年,,クリスマス,ジョニー・マークス、新田宣夫,ジョニー・マークス,,,
今好きになる。,今好きになる。,,,,ボカロ,,,,,
センパイ。,センパイ。,,,,ボカロ,,,,,
丸ノ内サディスティック,丸ノ内サディスティック,椎名林檎,1999年,無罪モラトリアム,J-POP,,,,,
ホーリーナイトクリスマス,ホーリーナイトクリスマス,,1847年,,クリスマス,プラシッド・カッポー,アドルフ・アダム,,,
やだやだもん（24秒）,やだやだもん,,,,ボカロ,,,,,
あなたの頬が桃色になった,あなたの頬が桃色になった,歌愛ユキ,,,ボカロ,式浦。,式浦。,式浦。,,
Never Ending Fantasy,Never Ending Fantasy,,2016年,Never Ending Fantasy 〜GRANBLUE FANTASY〜,アニソン,,,,グラブル,
とても素敵な六月でした,とても素敵な六月でした,初音ミク,,,ボカロ,Eight,Eight,Eight,,
EXPOSE ‘Burn out!!!',EXPOSE ‘Burn out!!!',,,,アニソン,,,,遊☆戯☆王ZEXAL,
ピース！！,ピース！！,,,,アニソン,,,,ONE PIECE,
僕たちの英語物語,僕たちの英語物語,戸定梨香,2023年4月1日,,アニソン,ヴィーナス・シンコ,ヴィーナス・シンコ,ヴィーナス・シンコ,英語物語,主題歌
忘れてやらない,忘れてやらない,結束バンド,2022年,結束バンド,アニソン,ZAQ,吉岡大地,,ぼっち・ざ・ろっく,挿入歌
ジングルベル,ジングルベル,,1857年,,クリスマス,ピアポント,ピアポント,,,
君よ 気高くあれ,君よ 気高くあれ,シユイ,2023年,機動戦士ガンダム 水星の魔女 Original Soundtrack (Incomplete Edition),ガンダム,ryo,ryo,,水星の魔女,ED
O・G・I・N・O！～世界最強のヲタク議員～ リミックス版,,戸定梨香,"Apr 15, 2023",,選挙ソング,ヴィーナス・シンコ,ヴィーナス・シンコ,,おぎの稔,テーマソング
O・G・I・N・O！～世界最強のヲタク議員～,,戸定梨香,"Apr 15, 2023",,選挙ソング,ヴィーナス・シンコ,ヴィーナス・シンコ,,おぎの稔,テーマソング